selection_id,door,fine_group_id,fine_group_name,major_category
major_001,农学,F01,农学-农业生命与生态类,动物医学类
major_002,农学,F01,农学-农业生命与生态类,动物生产类
major_003,农学,F01,农学-农业生命与生态类,林学类
major_004,农学,F01,农学-农业生命与生态类,植物生产类
major_005,农学,F01,农学-农业生命与生态类,水产类
major_006,农学,F01,农学-农业生命与生态类,自然保护与环境生态类
major_007,农学,F01,农学-农业生命与生态类,草学类
major_008,医学,F02,医学-临床与基础医学类,中医学类
major_009,医学,F02,医学-临床与基础医学类,中西医结合类
major_010,医学,F02,医学-临床与基础医学类,临床医学类
major_011,医学,F02,医学-临床与基础医学类,公共卫生与预防医学类
major_012,医学,F02,医学-临床与基础医学类,医学试验班类
major_013,医学,F02,医学-临床与基础医学类,口腔医学类
major_014,医学,F02,医学-临床与基础医学类,基础医学类
major_015,医学,F02,医学-临床与基础医学类,法医学类
major_016,历史学,F03,历史学-历史人文类,历史学类
major_017,哲学,F04,哲学-哲学思想类,哲学类
major_018,工学,F10,工学-农林工程与试验交叉类,交叉工程类
major_019,工学,F06,工学-土建交通与空间工程类,交通运输类
major_020,工学,F05,工学-信息智能与控制类,仪器类
major_021,工学,F08,工学-资源环境与安全工程类,公安技术类
major_022,工学,F07,工学-装备制造与高端工程类,兵器类
major_023,工学,F10,工学-农林工程与试验交叉类,农业工程类
major_024,工学,F07,工学-装备制造与高端工程类,力学类
major_025,工学,F09,工学-化工生物与食品轻纺类,化工与制药类
major_026,工学,F06,工学-土建交通与空间工程类,土木类
major_027,工学,F08,工学-资源环境与安全工程类,地质类
major_028,工学,F08,工学-资源环境与安全工程类,安全科学与工程类
major_029,工学,F10,工学-农林工程与试验交叉类,工科试验班类
major_030,工学,F06,工学-土建交通与空间工程类,建筑类
major_031,工学,F07,工学-装备制造与高端工程类,机械类
major_032,工学,F07,工学-装备制造与高端工程类,材料类
major_033,工学,F10,工学-农林工程与试验交叉类,林业工程类
major_034,工学,F07,工学-装备制造与高端工程类,核工程类
major_035,工学,F06,工学-土建交通与空间工程类,水利类
major_036,工学,F06,工学-土建交通与空间工程类,测绘类
major_037,工学,F06,工学-土建交通与空间工程类,海洋工程类
major_038,工学,F08,工学-资源环境与安全工程类,环境科学与工程类
major_039,工学,F09,工学-化工生物与食品轻纺类,生物医学工程类
major_040,工学,F09,工学-化工生物与食品轻纺类,生物工程类
major_041,工学,F05,工学-信息智能与控制类,电子信息类
major_042,工学,F05,工学-信息智能与控制类,电气类
major_043,工学,F08,工学-资源环境与安全工程类,矿业类
major_044,工学,F09,工学-化工生物与食品轻纺类,纺织类
major_045,工学,F07,工学-装备制造与高端工程类,能源动力类
major_046,工学,F05,工学-信息智能与控制类,自动化类
major_047,工学,F07,工学-装备制造与高端工程类,航空航天类
major_048,工学,F05,工学-信息智能与控制类,计算机类
major_049,工学,F09,工学-化工生物与食品轻纺类,轻工类
major_050,工学,F09,工学-化工生物与食品轻纺类,食品科学与工程类
major_051,教育学,F11,教育学-教育体育类,体育学类
major_052,教育学,F11,教育学-教育体育类,教育学类
major_053,"教育学,理学",F12,教育学理学-心理行为科学类,心理学类
major_054,文学,F13,文学-语言传播类,中国语言文学类
major_055,文学,F13,文学-语言传播类,外国语言文学类
major_056,文学,F13,文学-语言传播类,新闻传播学类
major_057,法学,F14,法学-法律政治社会治理类,公安学类
major_058,法学,F14,法学-法律政治社会治理类,政治学类
major_059,法学,F14,法学-法律政治社会治理类,民族学类
major_060,法学,F14,法学-法律政治社会治理类,法学类
major_061,法学,F14,法学-法律政治社会治理类,社会学类
major_062,法学,F14,法学-法律政治社会治理类,马克思主义理论类
major_063,理学,F17,理学-生命医药护理类,中药学类
major_064,理学,F15,理学-数理化天文基础类,化学类
major_065,理学,F17,理学-生命医药护理类,医学技术类
major_066,理学,F16,理学-地球海洋空间科学类,地球物理学类
major_067,理学,F16,理学-地球海洋空间科学类,地理科学类
major_068,理学,F16,理学-地球海洋空间科学类,地质学类
major_069,理学,F16,理学-地球海洋空间科学类,大气科学类
major_070,理学,F15,理学-数理化天文基础类,天文学类
major_071,理学,F17,理学-生命医药护理类,护理学类
major_072,理学,F15,理学-数理化天文基础类,数学类
major_073,理学,F16,理学-地球海洋空间科学类,海洋科学类
major_074,理学,F15,理学-数理化天文基础类,物理学类
major_075,理学,F15,理学-数理化天文基础类,理科试验班类
major_076,理学,F17,理学-生命医药护理类,生物科学类
major_077,理学,F15,理学-数理化天文基础类,统计学类
major_078,理学,F17,理学-生命医药护理类,药学类
major_079,管理学,F18,管理学-公共信息与管理科学类,公共管理类
major_080,管理学,F19,管理学-商业运营与服务管理类,农业经济管理类
major_081,管理学,F18,管理学-公共信息与管理科学类,图书情报与档案管理类
major_082,管理学,F18,管理学-公共信息与管理科学类,工业工程类
major_083,管理学,F19,管理学-商业运营与服务管理类,工商管理类
major_084,管理学,F19,管理学-商业运营与服务管理类,旅游管理类
major_085,管理学,F19,管理学-商业运营与服务管理类,物流管理与工程类
major_086,管理学,F19,管理学-商业运营与服务管理类,电子商务类
major_087,管理学,F18,管理学-公共信息与管理科学类,管理科学与工程类
major_088,经济学,F20,经济学-经济金融财政贸易类,经济与贸易类
major_089,经济学,F20,经济学-经济金融财政贸易类,经济学类
major_090,经济学,F20,经济学-经济金融财政贸易类,财政学类
major_091,经济学,F20,经济学-经济金融财政贸易类,金融学类
major_092,综合,F21,综合-跨学科试验班类,人文社科试验班类
major_093,综合,F21,综合-跨学科试验班类,经济管理试验班类
major_094,综合,F21,综合-跨学科试验班类,综合试验班类
major_095,艺术学,F22,艺术学-艺术设计与表演理论类,戏剧与影视学类
major_096,艺术学,F22,艺术学-艺术设计与表演理论类,美术学类
major_097,艺术学,F22,艺术学-艺术设计与表演理论类,艺术学理论类
major_098,艺术学,F22,艺术学-艺术设计与表演理论类,设计学类
major_099,艺术学,F22,艺术学-艺术设计与表演理论类,音乐与舞蹈学类
